fecha,clae6,puestos
2007-01-01,465910,1885
2007-01-01,465920,317
2007-01-01,465930,2375
2007-01-01,465990,7071
2007-01-01,466110,4043
2007-01-01,466121,2593
2007-01-01,466129,767
2007-01-01,466200,3375
2007-01-01,466310,260
2007-01-01,466320,2660
2007-01-01,466330,5967
2007-01-01,466340,1255
2007-01-01,466350,758
2007-01-01,466360,2042
2007-01-01,466370,205
2007-01-01,466391,692
2007-01-01,466399,7263
2007-01-01,466910,55
2007-01-01,466920,641
2007-01-01,466931,727
2007-01-01,466932,4233
2007-01-01,466939,1024
2007-01-01,466940,1496
2007-01-01,466990,572
2007-01-01,469010,602
2007-01-01,469090,21089
2007-01-01,471110,38968
2007-01-01,471120,84464
2007-01-01,471130,14223
2007-01-01,471190,7268
2007-01-01,471900,4560
2007-01-01,472111,1316
2007-01-01,472112,1457
2007-01-01,472120,5302
2007-01-01,472130,8022
2007-01-01,472140,1866
2007-01-01,472150,570
2007-01-01,472160,2432
2007-01-01,472171,11911
2007-01-01,472172,2328
2007-01-01,472190,9924
2007-01-01,472200,1563
2007-01-01,472300,114
2007-01-01,473000,51159
2007-01-01,474010,5837
2007-01-01,474020,1479
2007-01-01,475110,1839
2007-01-01,475120,742
2007-01-01,475190,2316
2007-01-01,475210,1002
2007-01-01,475220,2526
2007-01-01,475230,9913
2007-01-01,475240,5771
2007-01-01,475250,1293
2007-01-01,475260,1054
2007-01-01,475270,672
2007-01-01,475290,18469
2007-01-01,475300,20869
2007-01-01,475410,5257
2007-01-01,475420,715
2007-01-01,475430,2803
2007-01-01,475440,4710
2007-01-01,475490,10142
2007-01-01,476110,3817
2007-01-01,476120,742
2007-01-01,476130,6009
2007-01-01,476200,316
2007-01-01,476310,3812
2007-01-01,476320,471
2007-01-01,476400,4832
2007-01-01,477110,2946
2007-01-01,477120,400
2007-01-01,477130,3062
2007-01-01,477140,5441
2007-01-01,477150,1180
2007-01-01,477190,35785
2007-01-01,477210,1188
2007-01-01,477220,9155
2007-01-01,477230,4475
2007-01-01,477290,2489
2007-01-01,477310,29346
2007-01-01,477320,8045
2007-01-01,477330,2101
2007-01-01,477410,5239
2007-01-01,477420,2240
2007-01-01,477430,590
2007-01-01,477440,3242
2007-01-01,477450,1333
2007-01-01,477460,2431
2007-01-01,477470,1937
2007-01-01,477480,222
2007-01-01,477490,19245
2007-01-01,477810,133
2007-01-01,477820,41
2007-01-01,477830,256
2007-01-01,477840,8
2007-01-01,477890,295
2007-01-01,478010,236
2007-01-01,478090,189
2007-01-01,479101,603
2007-01-01,479109,540
2007-01-01,479900,1822
2007-01-01,491110,4890
2007-01-01,491120,-99
2007-01-01,491200,4817
2007-01-01,492110,61343
2007-01-01,492120,29084
2007-01-01,492130,259
2007-01-01,492140,1977
2007-01-01,492150,27953
2007-01-01,492160,304
2007-01-01,492170,756
2007-01-01,492180,2567
2007-01-01,492190,7047
2007-01-01,492210,714
2007-01-01,492221,2245
2007-01-01,492229,12017
2007-01-01,492230,1261
2007-01-01,492240,3220
2007-01-01,492250,2189
2007-01-01,492280,16214
2007-01-01,492290,72168
2007-01-01,493110,305
2007-01-01,493200,1422
2007-01-01,501100,264
2007-01-01,501200,2437
2007-01-01,502101,847
2007-01-01,502200,1588
2007-01-01,511000,3834
2007-01-01,512000,811
2007-01-01,521010,3319
2007-01-01,521020,3321
2007-01-01,521030,-99
2007-01-01,522010,863
2007-01-01,522020,1209
2007-01-01,522091,118
2007-01-01,522092,869
2007-01-01,522099,3499
2007-01-01,523011,3125
2007-01-01,523019,234
2007-01-01,523020,858
2007-01-01,523031,239
2007-01-01,523039,586
2007-01-01,523090,11918
2007-01-01,524110,786
2007-01-01,524120,6367
2007-01-01,524130,502
2007-01-01,524190,4474
2007-01-01,524210,383
2007-01-01,524220,309
2007-01-01,524230,1090
2007-01-01,524290,8739
2007-01-01,524310,1383
2007-01-01,524320,41
2007-01-01,524330,188
2007-01-01,524390,1141
2007-01-01,530010,9558
2007-01-01,530090,1628
2007-01-01,551010,5687
2007-01-01,551021,307
2007-01-01,551022,33280
2007-01-01,551023,17085
2007-01-01,551090,2049
2007-01-01,552000,565
2007-01-01,561011,43429
2007-01-01,561012,4722
2007-01-01,561013,32452
2007-01-01,561014,4224
2007-01-01,561019,31478
2007-01-01,561020,3206
2007-01-01,561030,5282
2007-01-01,561040,77
2007-01-01,562010,15124
2007-01-01,562091,3023
2007-01-01,562099,608
2007-01-01,581100,6324
2007-01-01,581300,14188
2007-01-01,581900,540
2007-01-01,591110,5210
2007-01-01,591120,162
2007-01-01,591200,601
2007-01-01,591300,2660
2007-01-01,592000,214
2007-01-01,601000,5462
2007-01-01,602100,4447
2007-01-01,602200,7792
2007-01-01,602310,3141
2007-01-01,602320,3442
2007-01-01,602900,878
2007-01-01,611010,752
2007-01-01,611090,27969
2007-01-01,612000,7725
2007-01-01,613000,302
2007-01-01,614010,3589
2007-01-01,614090,714
2007-01-01,619000,9242
2007-01-01,620100,23553
2007-01-01,620200,875
2007-01-01,620300,272
2007-01-01,620900,23885
2007-01-01,631110,4202
2007-01-01,631120,62
2007-01-01,631190,488
2007-01-01,631200,71
2007-01-01,639100,622
2007-01-01,639900,305
2007-01-01,641100,5
2007-01-01,641910,4992
2007-01-01,641930,45334
2007-01-01,641941,2427
2007-01-01,641942,165
2007-01-01,641943,449
2007-01-01,642000,47
2007-01-01,643001,20
2007-01-01,643009,-99
2007-01-01,649100,85
2007-01-01,649210,525
2007-01-01,649220,9321
2007-01-01,649290,7754
2007-01-01,649910,80
2007-01-01,649991,242
2007-01-01,649999,6464
2007-01-01,651110,8208
2007-01-01,651120,5775
2007-01-01,651130,1046
2007-01-01,651210,8000
2007-01-01,651220,12338
2007-01-01,651310,29483
2007-01-01,651320,267
2007-01-01,652000,109
2007-01-01,653000,7785
2007-01-01,661111,508
2007-01-01,661121,33
2007-01-01,661131,577
2007-01-01,661910,1461
2007-01-01,661920,1296
2007-01-01,661930,104
2007-01-01,661991,127
2007-01-01,661992,-99
2007-01-01,661999,1179
2007-01-01,662010,114
2007-01-01,662020,5767
2007-01-01,662090,2670
2007-01-01,663000,822
2007-01-01,681010,2346
2007-01-01,681020,154
2007-01-01,681098,57103
2007-01-01,681099,12912
2007-01-01,682010,6322
2007-01-01,682091,1577
2007-01-01,682099,14452
2007-01-01,691001,17620
2007-01-01,691002,4953
2007-01-01,692000,30687
2007-01-01,702010,760
2007-01-01,702091,17245
2007-01-01,702092,22365
2007-01-01,702099,26604
2007-01-01,711001,13347
2007-01-01,711002,2122
2007-01-01,711003,6208
2007-01-01,711009,15286
2007-01-01,712000,2563
2007-01-01,721010,473
2007-01-01,721020,1204
2007-01-01,721030,494
2007-01-01,721090,229
2007-01-01,722010,640
2007-01-01,722020,223
2007-01-01,731001,2193
2007-01-01,731009,12132
2007-01-01,732000,2694
2007-01-01,741000,603
2007-01-01,742000,1935
2007-01-01,749001,284
2007-01-01,749002,62
2007-01-01,749003,33
2007-01-01,749009,4383
2007-01-01,750000,1457
2007-01-01,771110,417
2007-01-01,771190,2069
2007-01-01,771210,140
2007-01-01,771220,-99
2007-01-01,771290,840
2007-01-01,772010,79
2007-01-01,772091,95
2007-01-01,772099,1571
2007-01-01,773010,375
2007-01-01,773020,33
2007-01-01,773030,1458
2007-01-01,773040,671
2007-01-01,773090,5462
2007-01-01,774000,673
2007-01-01,780000,91789
2007-01-01,791100,7946
2007-01-01,791200,4265
2007-01-01,791901,120
2007-01-01,791909,2459
2007-01-01,801010,5688
2007-01-01,801020,1329
2007-01-01,801090,109455
2007-01-01,811000,280
2007-01-01,812010,67580
2007-01-01,812020,736
2007-01-01,812090,5239
2007-01-01,813000,3769
2007-01-01,821100,1324
2007-01-01,821900,2100
2007-01-01,822000,41735
2007-01-01,823000,789
2007-01-01,829100,250
2007-01-01,829200,3530
2007-01-01,829900,91102
2007-01-01,851010,2562
2007-01-01,851020,196190
2007-01-01,852100,49400
2007-01-01,852200,9650
2007-01-01,853100,14481
2007-01-01,853201,28893
2007-01-01,853300,1774
2007-01-01,854910,2595
2007-01-01,854920,140
2007-01-01,854930,2082
2007-01-01,854940,5677
2007-01-01,854950,399
2007-01-01,854960,524
2007-01-01,854990,6730
2007-01-01,855000,619
2007-01-01,861010,54984
2007-01-01,861020,2846
2007-01-01,862110,5196
2007-01-01,862120,559
2007-01-01,862130,970
2007-01-01,862200,6252
2007-01-01,863110,5608
2007-01-01,863120,5716
2007-01-01,863190,2856
2007-01-01,863200,7544
2007-01-01,863300,5845
2007-01-01,864000,11001
2007-01-01,869010,466
2007-01-01,869090,64842
2007-01-01,870100,805
2007-01-01,870210,13818
2007-01-01,870220,2512
2007-01-01,870910,710
2007-01-01,870920,320
2007-01-01,870990,768
2007-01-01,880000,1969
2007-01-01,900011,1840
2007-01-01,900021,514
2007-01-01,900030,507
2007-01-01,900040,-99
2007-01-01,900091,318
2007-01-01,910100,743
2007-01-01,910200,348
2007-01-01,910300,977
2007-01-01,910900,399
2007-01-01,920001,2912
2007-01-01,920009,25555
2007-01-01,931010,19957
2007-01-01,931020,2110
2007-01-01,931030,129
2007-01-01,931041,32
2007-01-01,931042,724
2007-01-01,931050,544
2007-01-01,931090,598
2007-01-01,939010,1143
2007-01-01,939020,1480
2007-01-01,939030,2628
2007-01-01,939090,3954
2007-01-01,941100,5183
2007-01-01,941200,4714
2007-01-01,942000,24492
2007-01-01,949100,34690
2007-01-01,949200,176
2007-01-01,949910,5824
2007-01-01,949920,54811
2007-01-01,949930,1226
2007-01-01,949990,76691
2007-01-01,951100,1530
2007-01-01,951200,1044
2007-01-01,952100,2112
2007-01-01,952200,348
2007-01-01,952300,178
2007-01-01,952910,351
2007-01-01,952920,261
2007-01-01,952990,968
2007-01-01,960101,186
2007-01-01,960102,5182
2007-01-01,960201,9635
2007-01-01,960202,1939
2007-01-01,960300,4973
2007-01-01,960910,1102
2007-01-01,960990,60850
2007-01-01,999999,11708
2007-02-01,11111,2932
2007-02-01,11112,4023
2007-02-01,11119,21202
2007-02-01,11121,2163
2007-02-01,11129,1146
2007-02-01,11130,417
2007-02-01,11211,26125
2007-02-01,11291,482
2007-02-01,11299,10454
2007-02-01,11310,2810
2007-02-01,11321,938
2007-02-01,11329,3621
2007-02-01,11331,2761
2007-02-01,11341,343
2007-02-01,11342,1021
2007-02-01,11400,19567
2007-02-01,11501,4529
2007-02-01,11509,5
2007-02-01,11911,786
2007-02-01,11912,1278
2007-02-01,11990,515
2007-02-01,12110,22748
2007-02-01,12121,535
2007-02-01,12200,5220
2007-02-01,12311,31157
2007-02-01,12319,985
2007-02-01,12320,3610
2007-02-01,12410,177
2007-02-01,12420,619
2007-02-01,12490,3465
2007-02-01,12510,3282
2007-02-01,12590,-99
